EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,Timestamp,Response
112.56724876631051,156.32033834792674,112.38960351841524,142.76881085848436,1700259629.905806,
-39.39984603319317,25.506117697805166,-24.479515159968287,0.15146594820544124,1700259629.9193583,
-114.82614833954722,-88.9684800459072,-124.49565967498347,-60.87622152874246,1700259629.9193583,
78.1863484736532,103.16888017766178,66.72168515948579,111.62292402749881,1700259629.9350288,
37.7580299526453,100.40509411040694,47.99974598130211,66.91989985713735,1700259629.9350288,
-136.45024988334626,-92.09877630881965,-137.71994591830298,-81.89819917967543,1700259629.9357977,
12.203293555416167,28.049249667674303,2.7506964174099267,60.17686023702845,1700259629.9357977,
91.19746041949838,154.34567117132246,103.63449772214517,123.54946498619393,1700259629.9493747,
-101.79259699396789,-45.41360516194254,-92.1754442579113,-53.942447010893375,1700259629.9493747,
-60.10767208784819,-40.76864941697568,-68.66269323648885,-0.9779838384129107,1700259629.9655356,
109.93435919750482,155.54243915714324,116.46983437007293,142.21904556499794,1700259629.9655356,
-41.15011921245605,26.803862982429564,-27.98006151849404,-3.0087495143525302,1700259629.965806,
-117.38050000928342,-90.10540963243693,-124.66395517298952,-61.8635551170446,1700259629.965806,
70.28393986728042,103.18009987752885,71.56111570214853,109.37150425417349,1700259629.9796686,
33.31128890533,101.28397059999406,52.749418925028294,68.311142640654,1700259629.9796686,
-132.92352422513068,-90.53923802729696,-137.79474391741678,-83.65595215884969,1700259629.9950323,
12.412727952934802,32.342654816806316,5.862293180543929,56.87452857615426,1700259629.9950323,
88.57953045051545,151.30139260739088,101.26714105019346,122.10212370334193,1700259629.9958055,
-104.89297405723482,-47.41071173828095,-95.01776822423562,-54.2678183070384,1700259629.9958055,
-64.40481713693589,-42.52640239614993,-71.29558280529454,-6.281161975581199,1700259630.009678,
104.46288556233048,154.94779506418854,119.54403213365003,147.6419005007483,1700259630.009678,
-46.894605544395745,23.72218541894108,-28.35779141401872,2.0700346254743636,1700259630.0251007,
-124.04126183036715,-84.48807989899069,-122.22180050192401,-54.26407840708271,1700259630.0251007,
66.40940351318568,102.05438999086618,69.63132732501253,114.53256619302556,1700259630.0257783,
17.603709091432393,98.79693712946028,53.22438621940091,73.08325498411432,1700259630.0257783,
-143.19328950345516,-91.78088481258601,-131.24243919504806,-72.14080019528046,1700259630.0561297,
5.030165440402925,30.18847244232893,8.334367051254958,68.50935733830556,1700259630.0561297,
77.70764127932489,144.42745648883283,105.4034704011865,129.13313562003896,1700259630.056568,
-114.03328954894096,-47.92681793216616,-89.07880709460005,-39.427895282860845,1700259630.056568,
-71.9968140469864,-41.692404706031084,-68.47569823870435,-2.6422393186949193,1700259630.0574417,
102.07308949064463,157.595644232817,113.01790671097115,146.61342801293358,1700259630.0574417,
-56.01996143627912,23.624948020093143,-26.035313541535288,3.5285956081934273,1700259630.0693717,
-126.26650230400264,-87.03869166877121,-123.39238918805495,-54.53709110384807,1700259630.0693717,
62.37031156104058,104.94533265661448,67.00965745607391,112.71123491460457,1700259630.085438,
20.13936126139015,101.56072319671512,54.94848009897396,75.88817995088175,1700259630.085438,
-145.66910327412188,-92.71585980150849,-129.51834531547502,-72.91121958615258,1700259630.0859628,
8.283878401853144,36.13491337187588,7.481669861357659,74.00701027316973,1700259630.0859628,
80.27321264892817,149.64835682697594,107.65489017451182,135.8238166407682,1700259630.0993497,
-114.33622144535184,-46.99932274315506,-90.62338577629998,-41.34272406017408,1700259630.0993497,
-68.32423229049891,-46.120446253567934,-66.83762205811217,2.7619161172769964,1700259630.115088,
102.28626378811896,152.12791049759835,116.55959196900949,154.2390840225853,1700259630.115088,
-47.80340123362839,21.33986914716661,-22.32907268544659,7.646225459408015,1700259630.115814,
-118.33043459802866,-90.08297023270279,-120.62112332088873,-47.36770288879052,1700259630.115814,
74.53994601685554,107.20797212980688,72.6456866892986,121.65707560861483,1700259630.129357,
29.02536355610937,102.64903408382088,53.44878021674231,81.29607528680936,1700259630.129357,
-134.44566350709647,-87.93626765813679,-128.01116563333198,-67.03957665571943,1700259630.1450913,
16.006771810352802,36.041415872983634,8.296968051698059,74.63531346572563,1700259630.1450913,
88.91986134648323,153.57151188049465,105.70640229759738,131.39203519327566,1700259630.1458025,
-104.35442846361548,-42.94901109114289,-89.85296638542786,-47.75291258422658,1700259630.1458025,
-61.375498172827065,-39.36618693359196,-62.50681790942326,5.664078482892364,1700259630.1594367,
109.70996520016342,154.89917636476457,118.22758734924719,149.4594918792136,1700259630.1594367,
-48.61121962405741,27.40224697533995,-26.81695263227448,0.4955367441289127,1700259630.1750808,
-113.95475164987147,-86.46274707559496,-123.560684686061,-55.68898029020056,1700259630.1750808,
67.09380520507693,102.44333958625793,72.14080019528046,117.65538265602663,1700259630.1758013,
31.605894525535405,100.13956121355295,53.68065401399508,72.83642158703879,1700259630.1758013,
-138.3987377602607,-86.82925727125257,-133.16848767222837,-71.46387830330059,1700259630.1894283,
15.28123121894896,32.73908421210945,8.62981914775446,69.02172363223508,1700259630.1894283,
89.043278045021,150.94610211160034,106.32348579028621,129.03215832123533,1700259630.2050755,
-99.39906102232635,-44.856360068544745,-92.8411464500241,-45.781985307578,1700259630.2050755,
-57.17185062263161,-49.276921816170216,-64.68343968363479,3.0274490141309798,1700259630.205828,
107.10325493104756,147.93174274731427,116.72414756705984,151.0938281598501,1700259630.205828,
-40.005709826014936,20.10570216178894,-22.250534786377102,7.530288560781628,1700259630.2194111,
-107.5707424255088,-89.00961894541979,-119.13264313852414,-50.0417313571088,1700259630.2194111,
79.43173515889794,102.11048849020153,71.40403990400955,119.16630223812535,1700259630.2351294,
33.603001101873815,98.64360123127699,55.82735658856109,77.14478633599356,1700259630.2351294,
-131.66691784001887,-94.96353967487812,-135.32267004670575,-76.3145285458304,1700259630.2358303,
24.702039207331836,33.67031930107623,5.5331819844432175,65.76427077082917,1700259630.2358303,
91.4891726160422,151.30513250734657,103.01741422945634,123.96085398131981,1700259630.2494211,
-107.3126893285662,-44.23927657585591,-90.2082568812184,-49.35732966521755,1700259630.2494211,
-54.572620153427124,-45.540761760436,-68.43829923914745,-3.5921739074401557,1700259630.2818108,
107.88489402178675,156.97482084017247,115.77047307835892,152.82540183933452,1700259630.2818108,
-43.33048088662326,27.278830276802182,-29.835051896516234,4.392512497957796,1700259630.2822669,
-104.96403215639293,-87.4837397634983,-120.86795671796426,-51.975259634200484,1700259630.2822669,
81.7055943319574,105.37916105147451,71.53119650250301,115.02997288713232,1700259630.2829597,
35.581408178433776,101.31388979963958,46.47012689942494,66.77778365882114,1700259630.2829597,
